id,cons,pain points
492,"Tailored for Partner's.

You're dreaming if you're expecting to grow financially with them...

You will be expected to do a LOT beyond your customer engagement (up to 20 hours a week and sometimes more) with very little recognition. The joke is that you will hear a lot of music about work life balance...

Huge focus on a single subjectively negative appraisal over 10s of positive client recognized impacts. This will also impact your promotion and salary increase, if it ever happen (hope you will not be shocked with 50£ and 100£ hikes)

If you have an alternative offer, please do not overvalue Deloitte as a brand or company. Never take their offer if it's not better than the competition as you will be squeezed for every single penny you will be getting.

Be very careful with the HR and recruitment team, they are expert MANIPULATORS. They will put every pressure on you to make you feel like you will be losing a lot by no immediately accepting an offer that is not aligned with what you want. The recruitment process might take 9-12 months and they will almost seem to be proud of it, but they will ask you to think over a scrap offer overnight hinting that they have a lot of applicants waiting for the role...

Not aligned to what other consultancies do, You will be expected to pay you lunch, drinks and coffees even if you are travelling to the south pole to deliver a client project.

Don't expect to have the right support to grow. You will be thrown in the middle of the pacific and expected to reach California by yourself. Very poor coaching and average/limited training offering.

Few of my colleagues reported that they have seen a last minute change to the offer bringing the salary and the grade to lower levels while they have been promised that they will be able to get it back in 1 year and as you might be thinking: Dream on; no one of them have been able to get what he expected in day 1 after the 1st year. I came to infer that this is some sort of practice to source high caliber profiler for lower salaries, get them into clients for very high rates (sometime 2 grades higher) while they will never feel that on their salary, promotion or even recognition.

PLEASE, be careful of what choice you're making before joining. I sincerely hope you will not be deeply disappointed and (hate yourself and) regret the day you accepted their offer.",poor coaching and training
492,"Tailored for Partner's.

You're dreaming if you're expecting to grow financially with them...

You will be expected to do a LOT beyond your customer engagement (up to 20 hours a week and sometimes more) with very little recognition. The joke is that you will hear a lot of music about work life balance...

Huge focus on a single subjectively negative appraisal over 10s of positive client recognized impacts. This will also impact your promotion and salary increase, if it ever happen (hope you will not be shocked with 50£ and 100£ hikes)

If you have an alternative offer, please do not overvalue Deloitte as a brand or company. Never take their offer if it's not better than the competition as you will be squeezed for every single penny you will be getting.

Be very careful with the HR and recruitment team, they are expert MANIPULATORS. They will put every pressure on you to make you feel like you will be losing a lot by no immediately accepting an offer that is not aligned with what you want. The recruitment process might take 9-12 months and they will almost seem to be proud of it, but they will ask you to think over a scrap offer overnight hinting that they have a lot of applicants waiting for the role...

Not aligned to what other consultancies do, You will be expected to pay you lunch, drinks and coffees even if you are travelling to the south pole to deliver a client project.

Don't expect to have the right support to grow. You will be thrown in the middle of the pacific and expected to reach California by yourself. Very poor coaching and average/limited training offering.

Few of my colleagues reported that they have seen a last minute change to the offer bringing the salary and the grade to lower levels while they have been promised that they will be able to get it back in 1 year and as you might be thinking: Dream on; no one of them have been able to get what he expected in day 1 after the 1st year. I came to infer that this is some sort of practice to source high caliber profiler for lower salaries, get them into clients for very high rates (sometime 2 grades higher) while they will never feel that on their salary, promotion or even recognition.

PLEASE, be careful of what choice you're making before joining. I sincerely hope you will not be deeply disappointed and (hate yourself and) regret the day you accepted their offer.",low salaries and grades
492,"Tailored for Partner's.

You're dreaming if you're expecting to grow financially with them...

You will be expected to do a LOT beyond your customer engagement (up to 20 hours a week and sometimes more) with very little recognition. The joke is that you will hear a lot of music about work life balance...

Huge focus on a single subjectively negative appraisal over 10s of positive client recognized impacts. This will also impact your promotion and salary increase, if it ever happen (hope you will not be shocked with 50£ and 100£ hikes)

If you have an alternative offer, please do not overvalue Deloitte as a brand or company. Never take their offer if it's not better than the competition as you will be squeezed for every single penny you will be getting.

Be very careful with the HR and recruitment team, they are expert MANIPULATORS. They will put every pressure on you to make you feel like you will be losing a lot by no immediately accepting an offer that is not aligned with what you want. The recruitment process might take 9-12 months and they will almost seem to be proud of it, but they will ask you to think over a scrap offer overnight hinting that they have a lot of applicants waiting for the role...

Not aligned to what other consultancies do, You will be expected to pay you lunch, drinks and coffees even if you are travelling to the south pole to deliver a client project.

Don't expect to have the right support to grow. You will be thrown in the middle of the pacific and expected to reach California by yourself. Very poor coaching and average/limited training offering.

Few of my colleagues reported that they have seen a last minute change to the offer bringing the salary and the grade to lower levels while they have been promised that they will be able to get it back in 1 year and as you might be thinking: Dream on; no one of them have been able to get what he expected in day 1 after the 1st year. I came to infer that this is some sort of practice to source high caliber profiler for lower salaries, get them into clients for very high rates (sometime 2 grades higher) while they will never feel that on their salary, promotion or even recognition.

PLEASE, be careful of what choice you're making before joining. I sincerely hope you will not be deeply disappointed and (hate yourself and) regret the day you accepted their offer.",unfulfilled promises
493,Other members of call coach will have next to nothing to do while you can at time be doing most of the work.,uneven work distribution
493,Other members of call coach will have next to nothing to do while you can at time be doing most of the work.,lack of work for team members
494,Work/life balance is non existent for a small portion of the year,non-existent work/life balance for a portion of the year
495,Pay could be better aligned to performance (low performers and top performers paid roughly the same),misalignment of pay and performance
496,"Outdated salary structure (make little until you hit partner)
Large and bureaucratic",outdated salary structure
496,"Outdated salary structure (make little until you hit partner)
Large and bureaucratic",large and bureaucratic organization
497,Pressure and work life balance,pressure
497,Pressure and work life balance,work-life balance
498,limited exit opportunity afterwards which,limited exit opportunity afterwards
499,"- Difficult to move between departments 
- Not as agile as it could be
- Intense workloads",difficulty moving between departments
499,"- Difficult to move between departments 
- Not as agile as it could be
- Intense workloads",lack of agility
499,"- Difficult to move between departments 
- Not as agile as it could be
- Intense workloads",intense workloads
500,"Some projects can be boring and involve long hours 
A lot of extracurricular work is required to get noticed for promotion 
Salary is not great and can find better elsewhere",boring projects
500,"Some projects can be boring and involve long hours 
A lot of extracurricular work is required to get noticed for promotion 
Salary is not great and can find better elsewhere",long hours
500,"Some projects can be boring and involve long hours 
A lot of extracurricular work is required to get noticed for promotion 
Salary is not great and can find better elsewhere",lack of recognition
500,"Some projects can be boring and involve long hours 
A lot of extracurricular work is required to get noticed for promotion 
Salary is not great and can find better elsewhere",low salary
501,"say good bye to social life, the more you put in the more you get",excessive workload negatively impacting social life
502,Normally there are long hours to work,long hours to work
503,Sometimes hours can be tough if you don't communicate your workload,difficulty communicating workload
504,"Long hours, can be stressful",long hours
504,"Long hours, can be stressful",can be stressful
505,Lack of technical know - how in management often,lack of technical knowledge in management
506,Long working hours at times,long working hours
507,Take over life if you got anything else on forget it,unappreciative work environment
507,Take over life if you got anything else on forget it,lack of work-life balance
508,Long working hours during busy season,long working hours during busy season
509,Salary is lower than other organizations,lower salary compared to other organizations
510,Some senior positions need to be rotated as they become too distant from juniors personal needs,senior positions not being rotated
510,Some senior positions need to be rotated as they become too distant from juniors personal needs,distance between seniors and junior's personal needs
511,Hours to pay ratio not good enough,poor hours to pay ratio
512,"Long working hours, specially now at home",long working hours
512,"Long working hours, specially now at home",especially while working from home
513,"Poor work/life balance, compensation and benefits not up to the energy committed",poor work/life balance
513,"Poor work/life balance, compensation and benefits not up to the energy committed",insufficient compensation and benefits
514,Less responsibilities compared to smaller firms,less responsibilities compared to smaller firms
515,Sometimes difficult to manage work life balance,difficulty managing work-life balance
516,"Demanding, and occasionally psychotic, management",demanding management
516,"Demanding, and occasionally psychotic, management",occasional psychotic behavior of management
517,Challenging work load and HR structure,challenging work load
517,Challenging work load and HR structure,poor HR structure
518,"Long working times, not work life balance",long working times
518,"Long working times, not work life balance",lack of work-life balance
519,"- Resistant to any change with a 'this is how it is done here' mentality.

- Hierarchical; little interface between junior and senior staff with a 20th century culture.

- Long working hours (expected) but dull and with no incentives to work effectively (the expectation of hours worked has little to do with actual output of individuals. Perceptions of commitment are time rather than task orientated).",resistance to change
519,"- Resistant to any change with a 'this is how it is done here' mentality.

- Hierarchical; little interface between junior and senior staff with a 20th century culture.

- Long working hours (expected) but dull and with no incentives to work effectively (the expectation of hours worked has little to do with actual output of individuals. Perceptions of commitment are time rather than task orientated).",hierarchical structure
519,"- Resistant to any change with a 'this is how it is done here' mentality.

- Hierarchical; little interface between junior and senior staff with a 20th century culture.

- Long working hours (expected) but dull and with no incentives to work effectively (the expectation of hours worked has little to do with actual output of individuals. Perceptions of commitment are time rather than task orientated).",lack of interface between junior and senior staff
519,"- Resistant to any change with a 'this is how it is done here' mentality.

- Hierarchical; little interface between junior and senior staff with a 20th century culture.

- Long working hours (expected) but dull and with no incentives to work effectively (the expectation of hours worked has little to do with actual output of individuals. Perceptions of commitment are time rather than task orientated).",long working hours
519,"- Resistant to any change with a 'this is how it is done here' mentality.

- Hierarchical; little interface between junior and senior staff with a 20th century culture.

- Long working hours (expected) but dull and with no incentives to work effectively (the expectation of hours worked has little to do with actual output of individuals. Perceptions of commitment are time rather than task orientated).",dull work
519,"- Resistant to any change with a 'this is how it is done here' mentality.

- Hierarchical; little interface between junior and senior staff with a 20th century culture.

- Long working hours (expected) but dull and with no incentives to work effectively (the expectation of hours worked has little to do with actual output of individuals. Perceptions of commitment are time rather than task orientated).",lack of incentives for effective work
519,"- Resistant to any change with a 'this is how it is done here' mentality.

- Hierarchical; little interface between junior and senior staff with a 20th century culture.

- Long working hours (expected) but dull and with no incentives to work effectively (the expectation of hours worked has little to do with actual output of individuals. Perceptions of commitment are time rather than task orientated).",time-oriented performance evaluation
520,"Workload, Increment cycle is way old fashioned",heavy workload
520,"Workload, Increment cycle is way old fashioned",outdated increment cycle
521,Dispersed teams sometimes make it hard to know where to go.,dispersed teams
521,Dispersed teams sometimes make it hard to know where to go.,difficulty determining team direction
522,Experience dependent on what team you are in,dependence of experience on team assignment
523,There isn't a lot of transparency.,lack of transparency
524,"Long work hours, colleagues working for long time gang up against new joiners and do not let new joiner progress. Too many young people are given senior roles and authority that they often misuse. Insecure collegues !",long work hours
524,"Long work hours, colleagues working for long time gang up against new joiners and do not let new joiner progress. Too many young people are given senior roles and authority that they often misuse. Insecure collegues !",colleagues gang up against new joiners
524,"Long work hours, colleagues working for long time gang up against new joiners and do not let new joiner progress. Too many young people are given senior roles and authority that they often misuse. Insecure collegues !",too many young people in senior roles
524,"Long work hours, colleagues working for long time gang up against new joiners and do not let new joiner progress. Too many young people are given senior roles and authority that they often misuse. Insecure collegues !",misuse of authority
524,"Long work hours, colleagues working for long time gang up against new joiners and do not let new joiner progress. Too many young people are given senior roles and authority that they often misuse. Insecure collegues !",insecure colleagues
525,Bad people but good environment,bad colleagues
526,Full of middle class posh selfish snakey people,middle class
526,Full of middle class posh selfish snakey people,posh
526,Full of middle class posh selfish snakey people,selfish
526,Full of middle class posh selfish snakey people,snakey people
527,Very large organisation sometimes miss out on things,missing out on things in a large organization
528,"Poor Reward, some long hours",poor reward
528,"Poor Reward, some long hours",long hours
529,None to report as similar to any other big consultancy,
530,High pressure environment. Long hours,high pressure environment
530,High pressure environment. Long hours,long hours
531,work life balance can be a challenge particularly during peak reporting periods.,challenging work life balance during peak reporting periods
532,I’m corporate finance you can work IB hours for a third of the salary,long hours
532,I’m corporate finance you can work IB hours for a third of the salary,lower salary compared to IB
533,"No diversity - if you are non-white, it is hard to climb promotion.",lack of diversity
533,"No diversity - if you are non-white, it is hard to climb promotion.",difficulty promoting for non-white employees
534,sometimes long hours and lower pay,long hours
534,sometimes long hours and lower pay,lower pay
535,Long hours and lack of work life balance,long hours
535,Long hours and lack of work life balance,lack of work-life balance
536,Difficult to get a promotion,difficulty getting promoted
537,very large company and extremely corporate culture,very large company
537,very large company and extremely corporate culture,corporate culture
538,"Very profit driven
some teams don't look after you",profit-driven culture
538,"Very profit driven
some teams don't look after you",lack of team support
539,Lower remuneration compared to market rate,lower remuneration compared to market rate
540,"Culture is very 80s like, white boys club unfortunately and difficult to move around, low salaries compared to hours worked",unfavorable culture
540,"Culture is very 80s like, white boys club unfortunately and difficult to move around, low salaries compared to hours worked",lack of diversity
540,"Culture is very 80s like, white boys club unfortunately and difficult to move around, low salaries compared to hours worked",low salaries
540,"Culture is very 80s like, white boys club unfortunately and difficult to move around, low salaries compared to hours worked",long hours
541,Bad working life balance - long hours underpaid,bad working life balance
541,Bad working life balance - long hours underpaid,long hours
541,Bad working life balance - long hours underpaid,underpayment
542,Bad working life balance - long hours underpaid,bad working life balance
542,Bad working life balance - long hours underpaid,long hours
542,Bad working life balance - long hours underpaid,underpayment
543,"Can be long hours sometimes, but expected in the sector",long hours
544,"Low pay
Work can be boring",low pay
544,"Low pay
Work can be boring",boring work
545,"Low pay
Work can be boring",low pay
545,"Low pay
Work can be boring",boring work
546,"toxic environment, white supremacy, long work hours,",toxic environment
546,"toxic environment, white supremacy, long work hours,",white supremacy
546,"toxic environment, white supremacy, long work hours,",long work hours
547,Sometimes long hours and demanding clients,long hours
547,Sometimes long hours and demanding clients,demanding clients
548,Striking for work life balance,strike work-life balance
549,A bit stressful in certain periods,stressful periods
550,A bit stressful in certain periods,stressful periods
551,Some projects have large teams and individually making an impact can be difficult.,difficulty making an impact on large teams
552,Some projects have large teams and individually making an impact can be difficult.,difficulty making an impact on large teams
553,"Terrible management, lack diversity in action,",terrible management
553,"Terrible management, lack diversity in action,",lack of diversity in action
554,"Low salary compared to other big 4 firms in the UK.

Long hours and no overtime.",low salary
554,"Low salary compared to other big 4 firms in the UK.

Long hours and no overtime.",long hours without overtime
555,People start things but never finish; you feel like a resource in a big company; salary is not competitive,people not finishing tasks
555,People start things but never finish; you feel like a resource in a big company; salary is not competitive,feeling like a resource
555,People start things but never finish; you feel like a resource in a big company; salary is not competitive,uncompetitive salary
556,"Artificial deadlines in tax profile, long hours, no appreciation",artificial deadlines in tax profile
556,"Artificial deadlines in tax profile, long hours, no appreciation",long hours
556,"Artificial deadlines in tax profile, long hours, no appreciation",lack of appreciation
557,Small wheel in a large cog,small wheel in a large cog
558,"Long hours during week, stressful, working at weekends and bank holidays",long hours during week
558,"Long hours during week, stressful, working at weekends and bank holidays",stressful
558,"Long hours during week, stressful, working at weekends and bank holidays",working at weekends and bank holidays
559,None None None None None,
560,Long hours with low pay and sometimes very boring projects. Some Partners only care about profitability and are not approachable.,long hours with low pay
560,Long hours with low pay and sometimes very boring projects. Some Partners only care about profitability and are not approachable.,boring projects
560,Long hours with low pay and sometimes very boring projects. Some Partners only care about profitability and are not approachable.,partners focused on profitability and unapproachable
561,big corp so get stuck on large projects,getting stuck on large projects
