participant number,astrologicalSign,astrologicalSign_Aquarius,astrologicalSign_Aries,astrologicalSign_Cancer,astrologicalSign_Capricorn,astrologicalSign_Gemini,astrologicalSign_Leo,astrologicalSign_Libra,astrologicalSign_Pisces,astrologicalSign_Sagittarius,astrologicalSign_Scorpio,astrologicalSign_Tauras,astrologicalSign_Virgo,MBTI-style,MBTI-style_E,MBTI-style_S,MBTI-style_T,MBTI-style_J,Big5_E,Big5_O,Big5_A,Big5_C,Big5_N,Enneagram_type,Enneagram_type_1 score,Enneagram_type_2 score,Enneagram_type_3 score,Enneagram_type_4 score,Enneagram_type_5 score,Enneagram_type_6 score,Enneagram_type_7 score,Enneagram_type_8 score,Enneagram_type_9 score,outcome_HomeOwner,outcome_SatisfiedWithLife,outcome_SatisfiedWithWorkLife,outcome_SatisfiedWithRomanticLife,outcome_numberOfTimesHospitalizedInPast5Years,outcome_NumberOfServicesWithFailedPaymentsInPast5Years,outcome_numberOfPeopleWhoWouldHelpThemInEmergency,outcome_BMI,outcome_SatisfiedWithPhysicalHealth,outcome_SatisfiedWithSocialLife,outcome_HoursOfModerateExercisePerWeek,outcome_considersThemselvesReligious,outcome_EmploymentLevel,outcome_numberOfDeepEmotionalConnections,outcome_relationshipSeriousness,outcome_numberOfFeedbacksReceivedInLastYear,outcome_levelOfSuicidality,outcome_numberOfEventsPlannedInLastYear,outcome_numberOfVolunteeringsInLastYear,outcome_numberOfPromotionsInLastFiveYears,outcome_TraumaImpact,outcome_numberOfPaidWorkHoursPerWeek,householdIncomeEstimate,outcome_MeditationMinutesPerDay,outcome_Conservativeness,outcome_highestLevelOfEducation,outcome_age,outcome_femaleAs1MaleAs0,outcome_numberOfMonthsSpentInJailOrPrison,outcome_NumberOfCriminalConvictionsInLast5Years,outcome_numberOfTimesFiredInPast5Years,outcome_DietVeg,outcome_DietMediterranean,outcome_DietLowCarb,hoursOfSleepPerNight,outcome_numberOfTrainingsInLastYear,outcome_numberOfAwardsInLastYear,outcome_TimesOfPhysicalForceWithoutProvocationInLast5Years,outcome_NumberOfCrimesTheyAreVictimOfInLast5Years
244,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,INFP,16,16,40,52,19,63,83,74,33,2,63,90,27,43,73,53,23,23,70,2,2,-1,2,0,1,6,26,2,2,3,2,1,2,3,3,0,1,0,0,1,29,50000,0,-2,4,36,1,0,0,0,0,0,0,7,0,0,0,0
245,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,INFP,13,19,41,56,8,90,85,83,31,5,80,63,13,37,97,73,23,63,73,2,1,-3,-3,0,0,5,23,2,3,6,-3,1,3,0,0,4,0,0,0,2,40,50000,0,1,4,42,0,0,0,0,0,1,0,7,0,0,0,1
246,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ESTP,58,67,68,50,60,38,57,42,42,6,27,60,33,37,47,73,53,33,73,0,-1,-1,-3,0,0,6,33,-2,-1,6,-3,1,2,0,1,0,1,0,1,0,32,175000,0,2,5,37,0,0,0,0,0,0,0,7,0,0,0,0
247,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ISTJ,27,46,56,68,29,71,79,61,29,5,57,57,20,43,77,63,53,47,50,0,-1,-1,-3,0,0,1,42,-2,-1,1,1,1,1,3,0,0,1,0,0,2,40,32500,0,-2,6,54,1,0,0,0,0,0,1,5,0,0,0,2
248,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,INFP,24,34,47,39,24,60,63,44,44,4,37,47,17,50,67,43,43,57,43,0,2,-1,1,0,0,8,21,2,2,2,-1,1,8,3,3,2,3,1,1,3,50,72500,0,0,2,30,0,0,0,0,0,0,1,7,0,1,0,2
249,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ISTJ,43,64,67,69,49,47,61,67,21,2,63,77,17,30,47,70,40,57,67,2,2,1,2,0,0,10,25,1,2,0,-2,1,1,4,1,1,3,1,1,1,44,175000,0,-2,3,39,0,0,0,0,0,0,0,7,0,0,0,0
250,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ESFP,78,47,32,59,83,51,69,58,40,7,53,70,60,57,47,43,77,57,57,2,1,-1,1,0,0,6,27,1,1,3,1,1,6,4,0,0,0,0,0,1,56,50000,0,2,2,52,1,0,0,0,0,0,0,6,0,0,0,0
251,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ENFJ,84,39,29,70,81,69,90,68,7,7,67,73,57,23,60,63,77,43,33,0,2,2,0,0,0,4,23,1,3,6,-1,1,4,0,3,0,3,0,1,0,40,50000,0,-2,5,31,0,0,0,0,0,0,1,7,0,1,0,2
252,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ENFP,64,38,48,56,63,64,68,65,38,7,63,60,53,40,60,63,63,60,57,0,2,1,1,0,0,7,26,2,2,6,-3,1,5,1,0,0,1,11,1,0,40,72500,0,-1,6,36,0,0,0,0,0,0,0,8,2,0,0,0
253,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ISFJ,34,68,50,71,25,39,65,57,79,9,63,63,40,60,30,73,50,50,77,3,-3,-2,-2,0,0,4,18,-1,-2,6,-1,1,3,4,3,1,0,0,0,4,24,50000,0,0,3,53,1,0,0,0,0,0,0,7,0,0,0,0
254,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,INTJ,6,29,88,76,13,90,44,65,21,5,80,10,3,23,100,17,17,80,50,2,1,-1,2,1,0,4,18,3,1,12,1,1,3,4,0,1,3,11,3,2,55,50000,25,-3,5,38,1,0,0,0,0,0,1,6,0,0,0,2
255,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ISTJ,33,59,57,88,33,68,82,90,58,1,97,83,33,77,60,77,30,77,80,3,3,3,3,1,0,5,28,2,3,1,1,1,3,4,7,0,6,3,3,2,40,175000,0,-1,5,39,1,0,0,0,0,0,0,8,1,1,0,0
256,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENTP,87,33,61,61,94,71,25,90,17,7,90,17,77,40,63,27,93,93,53,0,3,3,3,0,0,10,21,3,3,6,3,1,5,3,0,0,0,0,0,0,40,50000,25,-1,2,26,1,0,0,0,0,0,0,8,0,0,0,0
257,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,INFP,37,29,11,24,33,76,88,19,82,4,23,80,17,80,93,37,63,17,73,2,-2,-2,-3,0,2,4,28,-1,-1,0,-3,1,5,2,1,1,0,3,0,1,40,72500,0,-3,6,45,1,0,0,0,0,0,0,5,0,0,0,0
258,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ISFJ,37,63,34,78,39,44,85,69,60,2,70,80,27,53,37,70,40,50,70,2,1,0,2,1,0,6,21,1,-1,2,2,0,2,4,0,1,5,3,0,0,0,132500,0,-2,6,36,1,0,0,0,0,0,1,7,0,0,0,0
259,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,INTJ,44,42,57,84,47,69,83,83,35,7,93,90,33,37,77,57,93,80,50,0,1,3,3,0,0,5,36,-3,1,0,-3,1,4,0,7,3,0,0,0,1,40,32500,0,-2,2,51,1,0,0,0,1,0,0,8,0,1,0,0
260,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ISFJ,19,83,42,80,17,29,86,57,65,6,53,93,30,67,30,90,37,33,83,1,-3,1,-3,0,0,2,30,1,-3,0,-3,1,2,4,0,3,0,0,0,0,45,132500,5,-2,5,47,1,0,0,0,0,0,0,7,0,0,0,0
261,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ESFP,50,48,53,59,42,54,76,69,29,2,67,80,33,50,63,53,47,47,73,1,2,2,1,0,0,10,39,1,2,1,1,0,10,0,1,0,0,11,0,1,0,32500,0,1,4,72,1,0,0,0,0,0,0,8,0,0,0,0
262,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ISFJ,32,52,53,77,33,69,81,82,21,1,83,73,40,20,80,67,47,50,53,3,3,3,2,1,0,6,26,2,2,12,-2,1,3,4,3,0,5,3,1,1,50,225000,0,-2,6,59,1,0,0,0,0,0,0,8,1,1,0,0
263,Leo,0,0,0,0,0,1,0,0,0,0,0,0,INFJ,10,39,37,84,13,72,75,47,50,9,47,67,13,60,80,57,23,30,87,2,1,1,1,0,0,6,26,-1,-1,0,-3,1,4,4,5,1,0,0,0,0,40,175000,0,-3,8,34,0,0,0,0,0,0,0,6,0,0,0,0
264,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ISTJ,38,59,54,68,31,64,58,56,19,3,50,63,37,20,60,57,40,47,57,3,2,3,-2,3,0,5,30,1,-1,0,3,1,1,4,3,0,0,11,0,0,9,50000,0,3,6,68,0,0,0,0,0,0,1,7,0,0,0,0
265,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ENFJ,61,32,48,69,64,69,75,89,29,8,83,80,60,47,80,57,67,77,50,2,3,2,3,1,5,10,68,1,2,1,3,1,9,4,7,0,6,3,0,1,65,100000,60,2,5,45,0,0,0,0,0,0,1,6,2,1,0,2
266,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ENFP,63,38,46,58,61,65,78,57,24,7,47,70,37,47,67,63,73,67,47,1,2,0,2,0,0,5,30,1,1,3,-3,0,8,4,1,0,1,0,0,3,10,50000,0,-2,4,55,1,0,0,0,0,0,1,8,0,0,0,0
267,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,INFP,13,28,53,57,7,81,68,69,76,9,77,67,17,77,83,53,30,40,90,0,-3,-3,-3,0,0,3,19,2,-3,6,1,1,2,0,0,2,0,1,0,3,50,17500,0,-2,5,36,1,0,0,0,0,0,0,4,1,0,0,1
268,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ESTP,69,53,62,59,69,53,57,81,29,7,73,53,60,27,53,53,70,67,37,3,3,3,3,0,0,10,21,2,3,6,-2,1,5,4,5,0,5,3,1,0,45,132500,0,0,5,42,0,0,0,0,0,0,0,7,0,0,0,0
269,Leo,0,0,0,0,0,1,0,0,0,0,0,0,INTJ,32,39,73,80,39,63,83,92,36,8,100,80,20,7,83,80,80,100,83,0,3,3,3,0,0,5,24,3,3,2,3,1,3,1,5,0,1,0,0,1,50,175000,5,0,5,32,0,0,0,1,0,0,0,5,4,0,0,1
270,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ISFJ,1,53,27,81,0,71,94,54,58,2,63,90,10,70,73,53,3,40,70,0,-3,2,-2,0,10,1,30,-2,0,0,-3,1,0,4,0,5,0,0,0,4,35,17500,0,-2,2,37,1,0,0,0,0,0,0,4,0,0,2,4
271,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ISFJ,9,54,42,92,15,67,89,93,40,9,100,87,17,50,77,83,10,40,97,2,3,3,-1,0,0,12,23,2,3,6,-3,1,10,0,3,0,1,1,1,3,40,32500,0,-1,3,49,1,0,0,0,0,0,1,7,0,0,0,1
272,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ISTJ,14,73,76,71,14,28,31,53,38,9,50,30,20,23,50,47,7,37,90,0,-1,1,0,0,0,2,26,1,0,2,-2,1,0,0,0,1,0,0,0,1,40,50000,0,1,6,57,0,0,0,0,0,0,0,8,0,0,0,0
273,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ENFP,50,38,52,51,58,75,81,61,57,8,60,67,50,67,80,57,53,77,37,0,2,-1,1,1,0,7,20,1,0,3,-2,1,6,2,0,3,1,0,3,2,42,50000,5,-2,5,37,0,0,1,0,0,0,0,8,1,1,0,1
274,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ISFJ,22,51,52,74,22,64,75,83,58,9,80,67,23,60,53,67,30,53,77,3,1,-1,1,0,0,6,23,1,-1,6,-1,1,1,4,0,3,1,0,0,2,48,132500,0,2,3,56,1,0,0,0,0,0,1,7,2,0,0,1
275,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ENTJ,54,31,54,68,56,85,79,61,13,5,67,50,30,37,93,30,67,53,27,3,3,3,2,0,0,5,23,2,2,6,-2,0,3,0,0,0,6,0,0,0,10,100000,15,-3,6,73,1,0,0,0,0,1,0,9,2,0,0,0
276,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ISFP,40,44,50,58,46,61,63,57,64,4,57,57,53,63,67,67,40,43,53,0,-2,-2,-2,0,0,2,26,0,-2,0,-2,1,1,0,3,1,0,0,1,3,40,50000,25,-2,5,28,0,0,0,0,0,0,0,6,0,0,1,2
277,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ESFJ,69,46,38,74,71,54,94,75,39,7,77,70,30,60,50,70,67,37,70,3,2,2,3,0,0,10,28,1,3,12,1,0,20,4,3,1,0,0,0,1,20,132500,0,-2,5,66,1,0,0,0,0,1,0,7,0,0,0,1
278,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ENFP,87,43,50,56,86,58,76,68,28,2,60,90,67,30,53,60,83,63,63,3,1,-1,1,1,0,8,24,-1,1,2,-3,1,8,4,1,0,0,3,1,1,40,32500,0,-3,5,60,0,0,0,0,0,0,0,6,0,0,0,0
279,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ENTP,54,42,54,62,51,68,68,72,15,8,70,70,33,27,77,50,53,63,47,2,2,2,2,0,0,20,24,2,2,12,2,1,3,3,3,0,1,0,0,0,40,50000,0,1,4,32,0,0,0,0,0,0,1,8,0,0,0,0
280,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ISFJ,16,59,38,88,17,43,74,90,50,9,90,80,23,57,43,77,17,43,93,3,2,2,2,0,0,10,21,2,-2,12,2,1,2,4,1,1,1,0,1,2,50,100000,0,2,5,56,0,0,0,0,0,0,1,8,1,1,0,0
281,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ISFJ,8,83,51,90,1,19,69,51,86,9,40,57,13,67,23,70,23,43,93,2,-3,-2,-3,0,0,2,24,-2,-2,3,2,0,2,0,1,4,0,0,0,0,35,32500,5,3,5,45,0,0,0,0,0,0,0,7,0,0,0,0
282,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ESFP,62,51,20,58,53,63,90,94,18,2,90,100,30,37,77,80,67,40,93,3,3,3,3,0,0,4,18,3,3,2,3,1,3,4,1,0,3,0,0,1,40,72500,0,-3,5,33,1,0,0,0,0,0,0,8,1,0,0,0
283,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ENTP,80,33,56,57,85,86,76,97,15,7,93,73,80,33,100,80,100,90,27,2,3,3,3,0,0,3,25,3,3,3,3,1,2,4,3,0,0,0,0,0,56,32500,15,1,4,61,1,0,0,0,0,0,0,7,0,0,0,0
284,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ESFP,48,46,53,54,58,65,60,58,57,4,60,57,47,80,70,60,43,53,57,0,0,-1,1,0,0,2,15,2,0,1,1,1,2,3,3,1,0,8,3,1,45,100000,15,-1,5,28,1,0,0,0,0,0,0,7,0,1,0,0
285,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENTJ,67,39,63,66,63,69,85,83,40,7,83,63,63,47,83,73,73,73,60,2,3,3,3,0,0,7,23,3,3,6,-2,1,7,4,3,0,3,0,1,1,45,132500,15,0,5,35,0,0,0,0,0,0,0,6,0,1,0,0
286,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ESTJ,48,57,64,90,56,57,68,78,17,7,83,63,47,20,63,40,87,60,83,0,1,-1,1,0,0,10,25,2,2,1,-3,1,15,3,1,0,0,0,1,1,50,72500,0,-3,6,35,1,0,0,0,0,0,0,7,0,0,0,0
287,Pisces,0,0,0,0,0,0,0,1,0,0,0,0,ENFJ,62,43,18,73,61,71,93,83,29,2,83,97,33,50,73,63,73,40,73,2,2,2,3,1,0,5,33,2,2,1,3,1,3,4,1,0,3,0,1,2,45,50000,0,-3,2,34,1,0,0,0,0,0,0,8,0,0,0,0
288,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,INFP,37,29,42,63,43,69,75,58,60,9,53,77,53,57,83,80,43,50,87,2,1,1,3,0,4,1,20,1,1,0,-3,1,1,4,0,0,5,0,0,1,40,72500,0,-2,2,35,1,0,0,0,0,0,0,8,1,0,0,0
289,Tauras,0,0,0,0,0,0,0,0,0,0,1,0,ENTP,51,23,80,63,50,97,82,85,44,8,100,80,17,40,100,57,87,97,27,2,-1,-1,-1,0,0,6,26,-1,2,6,1,1,4,1,7,3,6,0,0,2,50,50000,5,0,5,39,0,0,0,0,0,0,0,5,1,0,0,2
290,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ENTP,79,41,84,59,75,79,50,71,19,7,77,33,40,23,83,43,87,70,37,0,3,-1,3,0,0,10,22,1,-1,1,-3,1,2,4,7,0,0,1,1,2,55,100000,0,1,5,53,0,0,0,0,0,0,0,7,0,0,0,0
291,Leo,0,0,0,0,0,1,0,0,0,0,0,0,INFJ,23,27,53,69,38,92,71,58,74,5,47,50,50,63,100,53,43,83,53,1,-2,-2,0,0,0,3,28,-2,-2,2,-2,0,2,0,0,0,1,0,0,3,0,4500,25,-2,5,54,0,1,1,0,0,0,0,7,0,0,1,0
292,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,INTP,21,33,83,33,18,67,65,63,11,8,77,53,3,10,80,30,57,73,40,1,0,0,3,3,0,7,16,-3,1,0,-3,0,5,0,0,0,0,0,0,1,45,17500,0,-3,7,62,1,0,0,0,1,0,0,6,0,0,0,0
293,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ENFJ,46,34,43,68,46,72,78,82,49,2,83,77,50,43,70,70,50,70,57,3,2,0,3,0,0,6,26,1,1,2,3,1,6,4,1,1,3,0,0,1,20,100000,5,1,6,44,1,0,0,0,0,1,0,7,4,0,0,0
294,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ENFP,66,40,49,56,58,78,81,71,17,7,60,57,40,47,83,73,67,53,50,2,2,2,2,0,0,3,21,2,3,6,1,1,5,3,0,1,0,0,0,2,40,32500,0,-2,5,27,0,0,0,0,0,0,1,8,0,0,0,0
295,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,INTP,33,43,64,62,40,60,63,74,28,8,77,57,40,33,63,53,30,70,47,0,-1,-1,-1,0,0,1,40,-2,-1,0,-3,0,0,0,3,0,3,0,0,0,80,4500,0,0,4,57,0,0,0,0,0,0,1,8,0,0,0,1
296,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ENFP,54,32,47,58,71,69,76,82,60,4,83,70,57,83,80,80,40,57,83,2,2,2,2,1,2,5,23,2,1,3,3,1,2,3,1,0,3,3,3,0,45,50000,5,-2,5,32,0,0,0,0,0,0,0,7,0,0,1,0
297,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ISFP,33,59,50,63,39,43,50,47,28,4,40,43,40,53,50,47,17,50,60,0,-2,-2,-2,0,0,7,22,2,-1,2,-2,0,6,0,0,0,0,0,0,0,12,32500,0,-2,5,30,0,0,0,0,0,0,0,8,2,0,0,0
298,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ESTJ,63,46,97,80,58,63,29,88,4,8,80,20,50,0,80,70,70,100,20,3,3,3,3,0,0,3,28,3,3,6,-3,1,0,1,5,0,0,0,3,0,40,32500,15,0,4,43,0,0,0,0,0,0,0,8,0,0,0,1
299,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENFP,59,28,49,58,58,78,75,60,24,7,53,77,33,47,83,57,67,70,37,2,2,2,3,0,0,12,26,2,2,12,1,1,6,4,7,0,3,3,1,2,35,72500,15,-3,4,64,0,0,0,0,0,0,1,7,0,0,0,1
300,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ESTJ,74,48,54,70,78,69,60,68,53,7,70,50,43,50,67,57,77,57,47,0,1,1,-3,0,0,2,20,2,1,6,-3,1,1,0,1,0,3,0,3,3,40,50000,0,0,5,31,1,0,0,0,1,0,0,7,0,1,1,1
301,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ISFJ,27,59,39,74,26,40,76,67,46,9,63,63,27,63,53,77,23,30,87,0,2,0,2,1,0,4,22,-1,1,0,1,0,3,4,5,0,1,0,0,1,45,17500,0,-3,3,68,1,0,0,0,0,0,0,7,0,0,0,2
302,Virgo,0,0,0,0,0,0,0,0,0,0,0,1,ISFJ,23,54,51,77,25,71,93,72,56,2,77,87,3,50,47,70,40,43,73,2,3,1,3,1,0,7,14,1,2,2,-3,1,5,4,3,0,5,0,0,2,40,132500,0,-2,6,34,1,0,0,0,1,0,0,7,0,3,0,0
303,Libra,0,0,0,0,0,0,1,0,0,0,0,0,INFJ,42,33,38,66,56,65,76,75,75,4,77,67,50,77,83,63,33,50,67,0,-1,-3,2,0,0,8,21,1,-2,3,-3,1,4,3,0,2,1,0,0,0,20,4500,0,-2,5,37,0,0,0,0,0,0,0,9,0,0,0,0
304,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,INTP,40,32,72,62,46,89,60,75,65,5,77,53,57,73,97,77,50,73,60,0,-1,-2,-3,1,1,5,29,1,-2,3,2,1,3,0,0,1,1,1,1,2,30,50000,15,1,2,34,0,1,0,0,0,0,0,7,0,0,0,1
305,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,INFP,32,38,29,58,35,63,88,64,51,2,67,93,33,67,77,63,30,37,80,0,1,2,1,3,0,3,23,2,-1,3,-1,1,1,3,3,1,1,1,1,2,50,175000,5,-3,2,36,1,0,0,0,0,0,0,5,1,0,0,0
306,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ESTP,47,54,56,59,42,38,64,35,40,9,20,57,27,47,50,63,43,37,73,2,1,2,2,0,0,8,21,1,1,3,2,0,6,0,5,0,3,3,0,1,0,17500,0,2,2,67,1,0,0,0,0,1,0,8,0,0,0,2
307,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ESFP,63,47,50,50,68,67,76,81,50,3,80,70,80,73,83,73,33,70,70,2,2,2,2,0,2,2,24,2,2,3,2,1,5,3,3,0,3,0,3,0,45,50000,5,-2,5,32,0,0,0,0,0,0,0,7,0,0,0,0
308,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ISTJ,10,44,56,79,8,63,68,79,54,9,80,57,30,63,77,70,13,47,77,0,-1,0,-1,0,0,2,35,-1,0,0,-3,1,0,0,3,0,0,0,0,2,30,32500,5,0,2,42,1,0,0,0,0,1,0,7,1,0,0,1
309,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ENFP,76,24,46,38,76,78,72,63,22,7,63,60,40,23,83,50,73,60,33,2,2,2,2,0,0,15,22,2,2,6,-3,1,8,4,5,0,6,11,1,1,40,132500,5,-3,5,64,1,0,0,0,1,0,0,7,0,0,0,0
310,Aquarius,1,0,0,0,0,0,0,0,0,0,0,0,ISFP,42,57,49,34,40,49,58,42,56,4,47,53,20,67,57,63,47,33,53,0,1,1,2,0,0,2,27,2,1,0,-2,1,1,4,0,1,0,0,0,0,25,17500,0,-3,2,24,0,0,0,0,0,0,0,6,0,0,0,0
311,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ISFJ,43,49,44,70,35,71,76,65,47,2,70,77,27,50,70,70,47,47,77,3,3,2,2,0,0,15,40,1,2,2,2,1,6,4,3,0,3,3,0,2,35,72500,0,2,4,43,1,0,0,0,0,0,0,8,0,0,0,0
312,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,ENFJ,58,31,42,68,47,65,94,75,31,7,80,83,27,40,87,73,90,60,80,3,3,0,2,0,0,6,29,2,2,6,3,1,6,4,0,1,0,0,0,3,25,132500,15,3,2,60,1,0,0,0,0,0,1,7,0,0,0,0
313,Aries,0,1,0,0,0,0,0,0,0,0,0,0,ISFJ,18,44,40,70,7,79,89,81,74,5,87,70,17,73,100,67,57,60,60,2,1,3,3,1,0,5,33,1,2,1,0,1,4,3,0,1,0,0,1,3,30,32500,0,-2,6,53,0,0,0,0,0,1,0,8,0,0,0,1
314,Leo,0,0,0,0,0,1,0,0,0,0,0,0,ISTJ,37,44,61,86,44,68,83,78,53,2,80,87,43,53,83,53,30,23,73,2,-1,1,2,0,0,5,30,-2,1,0,-3,0,3,4,0,4,0,0,0,1,32,72500,0,-2,2,39,1,0,0,0,1,0,0,6,0,0,0,0
315,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ISTP,44,53,69,63,44,65,51,63,35,8,63,57,43,37,63,40,33,63,57,3,1,1,-1,0,0,15,24,2,1,6,-3,1,7,0,0,0,1,0,0,1,42,72500,0,-1,5,51,0,0,0,0,0,1,0,7,0,0,0,0
316,Capricorn,0,0,0,1,0,0,0,0,0,0,0,0,ISTJ,23,60,78,84,28,53,49,89,42,1,93,33,43,20,60,63,27,60,60,0,-2,0,1,0,0,5,28,-1,1,0,-3,1,1,0,0,0,0,0,0,1,40,32500,0,-1,2,39,0,0,0,0,0,0,0,6,0,0,0,0
317,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,INTJ,36,41,61,64,35,72,78,79,39,5,90,67,27,37,97,50,57,60,43,0,1,2,2,0,0,10,25,0,2,2,-3,1,6,4,5,0,0,0,0,0,32,50000,0,-2,5,42,0,0,0,0,0,0,1,6,0,0,0,0
318,Libra,0,0,0,0,0,0,1,0,0,0,0,0,ENFP,57,36,52,57,49,67,75,71,49,3,73,57,57,53,67,57,57,50,63,3,2,2,2,0,0,2,22,2,2,2,3,1,4,4,0,0,3,3,1,0,40,132500,0,1,5,41,0,0,0,0,0,0,0,7,0,0,0,0
319,Cancer,0,0,1,0,0,0,0,0,0,0,0,0,ISTP,31,48,54,52,36,57,68,68,26,9,60,70,27,20,67,63,30,47,80,3,2,1,3,0,0,4,22,2,0,6,-3,1,4,4,3,0,0,1,1,2,43,50000,5,2,5,43,1,0,0,0,0,0,0,7,0,0,0,0
320,Scorpio,0,0,0,0,0,0,0,0,0,1,0,0,ESTJ,64,52,72,70,72,71,60,92,31,8,100,47,57,30,67,60,70,97,30,3,3,3,3,3,0,7,22,0,3,12,-3,1,7,4,3,0,3,0,3,1,80,175000,0,-2,2,47,1,1,0,0,0,0,0,6,0,1,0,1
321,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ISFP,9,51,26,54,4,46,82,72,96,2,70,100,33,63,47,83,13,27,100,2,-2,-2,-1,3,1,2,27,-2,-1,0,1,1,3,3,1,5,0,0,1,3,40,32500,0,-2,2,38,1,0,0,0,0,0,0,4,0,0,0,5
322,Sagittarius,0,0,0,0,0,0,0,0,1,0,0,0,ENTP,52,38,61,54,50,69,63,75,29,3,77,57,53,43,70,67,53,63,60,0,1,1,2,0,0,20,26,3,2,1,-3,1,10,0,3,0,3,0,0,0,20,4500,0,-1,2,44,0,0,0,0,0,0,0,8,0,0,0,0
323,Gemini,0,0,0,0,1,0,0,0,0,0,0,0,INTJ,26,41,74,68,42,68,33,69,35,8,70,27,37,37,77,50,47,83,10,3,1,2,2,0,0,5,22,1,1,0,-3,1,4,0,5,0,0,1,1,0,50,132500,0,2,5,62,1,0,0,0,0,0,0,8,5,0,0,0
324,,,,,,,,,,,,,,ENFP,62,39,49,63,63,72,69,89,64,2,90,87,70,63,87,67,60,70,87,,,,,,,,,,,,,,,,,,,,,,,72500,,,,,,,,,,,,,,,,
325,,,,,,,,,,,,,,ENFP,72,36,53,59,69,78,69,83,43,3,83,70,87,67,90,77,60,73,80,,,,,,,,,,,,,,,,,,,,,,,50000,,,,,,,,,,,,,,,,
326,,,,,,,,,,,,,,ISFP,44,50,44,54,51,65,82,72,25,7,60,67,50,40,70,67,60,67,47,,,,,,,,,,,,,,,,,,,,,,,50000,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,ISTJ,23,44,73,64,43,76,36,67,35,8,67,37,40,40,73,60,47,77,33,,,,,,,,,,,,,,,,,,,,,,,132500,,,,,,,,,,,,,,,,
